Category,City,Country/Region,Customer ID,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Segments Abbrev,Selected Year,Ship Date,Ship Mode,State/Province,Sub-Category,Discount,Profit
Office Supplies,Seattle,United States,LP-17080,Liz Pelletier,Avery,11-05-2022,US-2022-133823,98103,Avery 50,West,Consumer,CON,TRUE,12-05-2022,Same Day,Washington,Labels,0,$0.02K
Office Supplies,Los Angeles,United States,DV-13465,Dianna Vittorini,Other,11-06-2022,US-2022-152002,90004,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",West,Consumer,CON,TRUE,11-06-2022,Same Day,California,Paper,0,$0.06K
Office Supplies,Los Angeles,United States,JF-15490,Jeremy Farry,Adams,19-10-2019,US-2019-117317,90032,Spiral Phone Message Books with Labels by Adams,West,Consumer,CON,FALSE,19-10-2019,Same Day,California,Paper,0,$0.01K
Office Supplies,San Diego,United States,TC-21295,Toby Carlisle,Xerox,03-12-2022,US-2022-136875,92024,Xerox 1888,West,Consumer,CON,TRUE,03-12-2022,Same Day,California,Paper,0,$0.08K
Office Supplies,Seattle,United States,JF-15415,Jennifer Ferguson,Xerox,11-09-2022,US-2022-142188,98105,Xerox 225,West,Consumer,CON,TRUE,11-09-2022,Same Day,Washington,Paper,0,$0.01K
Office Supplies,Anaheim,United States,WB-21850,William Brown,Rogers,11-12-2021,US-2021-165330,92804,Rogers Profile Extra Capacity Storage Tub,West,Consumer,CON,FALSE,11-12-2021,Same Day,California,Storage,0,$0.00K
Office Supplies,Redlands,United States,CM-12445,Chuck Magee,Advantus,26-09-2021,US-2021-145898,92374,Advantus Rolling Storage Box,West,Consumer,CON,FALSE,26-09-2021,Same Day,California,Storage,0,$0.01K
Office Supplies,San Francisco,United States,JK-15370,Jay Kimmel,Sterilite,13-08-2022,US-2022-103828,94122,Sterilite Officeware Hinged File Box,West,Consumer,CON,TRUE,13-08-2022,Same Day,California,Storage,0,$0.01K
Office Supplies,Seattle,United States,MW-18220,Mitch Webber,Sterilite,13-12-2022,US-2022-107986,98103,Sterilite Officeware Hinged File Box,West,Consumer,CON,TRUE,13-12-2022,Same Day,Washington,Storage,0,$0.01K
Office Supplies,Redlands,United States,SG-20080,Sandra Glassco,Acme,31-10-2020,US-2020-164882,92374,Acme Tagit Stainless Steel Antibacterial Scissors,West,Consumer,CON,FALSE,31-10-2020,Same Day,California,Supplies,0,$0.01K
Office Supplies,Chula Vista,United States,TT-21220,Thomas Thornton,Boston,04-11-2021,US-2021-146766,91911,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,West,Consumer,CON,FALSE,04-11-2021,Same Day,California,Art,0,$0.06K
Office Supplies,San Francisco,United States,GZ-14470,Gary Zandusky,Binney & Smith,23-12-2022,US-2022-123463,94109,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",West,Consumer,CON,TRUE,23-12-2022,Same Day,California,Art,0,$0.01K
Office Supplies,San Francisco,United States,JM-16195,Justin MacKendrick,Other,05-11-2020,US-2020-145485,94109,Hanging Personal Folder File,West,Consumer,CON,FALSE,05-11-2020,Same Day,California,Storage,0,$0.02K
Office Supplies,San Francisco,United States,JK-15370,Jay Kimmel,Staple remover,13-08-2022,US-2022-103828,94122,Staple remover,West,Consumer,CON,TRUE,13-08-2022,Same Day,California,Supplies,0,$0.01K
Office Supplies,San Francisco,United States,CB-12025,Cassandra Brandow,Kensington,11-09-2022,US-2022-144484,94110,Kensington 4 Outlet MasterPiece Compact Power Control Center,West,Consumer,CON,TRUE,11-09-2022,Same Day,California,Appliances,0,$0.11K
Office Supplies,Redlands,United States,CM-12445,Chuck Magee,Sanford,26-09-2021,US-2021-145898,92374,SANFORD Major Accent Highlighters,West,Consumer,CON,FALSE,26-09-2021,Same Day,California,Art,0,$0.01K
Office Supplies,Redlands,United States,SG-20080,Sandra Glassco,Other,31-10-2020,US-2020-164882,92374,OIC Bulk Pack Metal Binder Clips,West,Consumer,CON,FALSE,31-10-2020,Same Day,California,Fasteners,0,$0.01K
Office Supplies,Seattle,United States,RP-19390,Resi Pölking,OIC,13-09-2019,US-2019-142769,98103,OIC Thumb-Tacks,West,Consumer,CON,FALSE,13-09-2019,Same Day,Washington,Fasteners,0,$0.00K
Office Supplies,Redlands,United States,CM-12445,Chuck Magee,Other,26-09-2021,US-2021-145898,92374,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),West,Consumer,CON,FALSE,26-09-2021,Same Day,California,Paper,0,$0.01K
Office Supplies,Seattle,United States,LP-17080,Liz Pelletier,Ampad,11-05-2022,US-2022-133823,98103,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",West,Consumer,CON,TRUE,12-05-2022,Same Day,Washington,Paper,0,$0.02K
Office Supplies,San Francisco,United States,JK-15370,Jay Kimmel,Staple holder,13-08-2022,US-2022-103828,94122,Staple holder,West,Consumer,CON,TRUE,13-08-2022,Same Day,California,Appliances,0,$0.02K
Office Supplies,Spokane,United States,JF-15415,Jennifer Ferguson,Dixon,05-04-2020,US-2020-102855,99207,Dixon Ticonderoga Pencils,West,Consumer,CON,FALSE,06-04-2020,Same Day,Washington,Art,0,$0.01K
Office Supplies,Seattle,United States,JF-15415,Jennifer Ferguson,Xerox,11-09-2022,US-2022-142188,98105,Xerox 1894,West,Consumer,CON,TRUE,11-09-2022,Same Day,Washington,Paper,0,$0.03K
Office Supplies,Anaheim,United States,WB-21850,William Brown,Avery,11-12-2021,US-2021-165330,92804,"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",West,Consumer,CON,FALSE,11-12-2021,Same Day,California,Binders,0.2,$0.00K
Office Supplies,San Francisco,United States,TT-21220,Thomas Thornton,ACCOHIDE,08-08-2020,US-2020-168564,94109,"ACCOHIDE 3-Ring Binder, Blue, 1""",West,Consumer,CON,FALSE,08-08-2020,Same Day,California,Binders,0.2,$0.00K
Office Supplies,San Francisco,United States,TT-21220,Thomas Thornton,Other,08-08-2020,US-2020-168564,94109,Presstex Flexible Ring Binders,West,Consumer,CON,FALSE,08-08-2020,Same Day,California,Binders,0.2,$0.00K
Office Supplies,Seattle,United States,LP-17080,Liz Pelletier,Acco,11-05-2022,US-2022-133823,98103,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",West,Consumer,CON,TRUE,12-05-2022,Same Day,Washington,Binders,0.2,$0.01K
Office Supplies,Anaheim,United States,WB-21850,William Brown,Other,11-12-2021,US-2021-165330,92804,Recycled Easel Ring Binders,West,Consumer,CON,FALSE,11-12-2021,Same Day,California,Binders,0.2,$0.01K
Office Supplies,Redlands,United States,SG-20080,Sandra Glassco,GBC,31-10-2020,US-2020-164882,92374,GBC DocuBind P100 Manual Binding Machine,West,Consumer,CON,FALSE,31-10-2020,Same Day,California,Binders,0.2,$0.12K
Office Supplies,San Francisco,United States,LS-17245,Lynn Smith,Avery,16-10-2019,US-2019-109456,94110,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,West,Consumer,CON,FALSE,17-10-2019,Same Day,California,Binders,0.2,$0.01K
Office Supplies,Seattle,United States,KL-16645,Ken Lonsdale,Avery,05-11-2020,US-2020-131072,98105,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",West,Consumer,CON,FALSE,05-11-2020,Same Day,Washington,Binders,0.2,$0.04K
Office Supplies,Glendale,United States,KT-16465,Kean Takahito,Fellowes,14-04-2021,US-2021-112669,85301,"Fellowes Personal Hanging Folder Files, Navy",West,Consumer,CON,FALSE,14-04-2021,Same Day,Arizona,Storage,0.2,$0.00K
Office Supplies,Anaheim,United States,WB-21850,William Brown,Ibico,11-12-2021,US-2021-165330,92804,Ibico Laser Imprintable Binding System Covers,West,Consumer,CON,FALSE,11-12-2021,Same Day,California,Binders,0.2,$0.07K
Office Supplies,Concord,United States,BE-11410,Bobby Elias,Other,18-11-2021,US-2021-108630,94521,Recycled Premium Regency Composition Covers,West,Consumer,CON,FALSE,18-11-2021,Same Day,California,Binders,0.2,$0.02K
Office Supplies,Seattle,United States,JF-15415,Jennifer Ferguson,Ibico,11-09-2022,US-2022-142188,98105,Ibico Ibimaster 300 Manual Binding System,West,Consumer,CON,TRUE,11-09-2022,Same Day,Washington,Binders,0.2,$0.46K
Office Supplies,Anaheim,United States,WB-21850,William Brown,GBC,11-12-2021,US-2021-165330,92804,GBC Recycled VeloBinder Covers,West,Consumer,CON,FALSE,11-12-2021,Same Day,California,Binders,0.2,$0.04K
Office Supplies,Glendale,United States,PG-18820,Patrick Gardner,GBC,08-03-2021,US-2021-106306,85301,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Consumer,CON,FALSE,08-03-2021,Same Day,Arizona,Binders,0.7,-$0.01K
Office Supplies,Tempe,United States,EH-13945,Eric Hoffmann,ACCOHIDE,10-07-2020,US-2020-149384,85281,Accohide Poly Flexible Ring Binders,West,Consumer,CON,FALSE,10-07-2020,Same Day,Arizona,Binders,0.7,$0.00K
Office Supplies,Peoria,United States,SV-20935,Susan Vittorini,Other,02-12-2022,US-2022-147767,85345,Vinyl Sectional Post Binders,West,Consumer,CON,TRUE,02-12-2022,Same Day,Arizona,Binders,0.7,-$0.05K
Office Supplies,South Bend,United States,RK-19300,Ralph Kennedy,Other,20-07-2020,US-2020-160472,46614,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Central,Consumer,CON,FALSE,25-07-2020,Second Class,Indiana,Storage,0,$0.01K
Office Supplies,Marion,United States,TM-21010,Tamara Manning,Tenex,29-01-2022,US-2022-160927,52302,"Tenex Personal Project File with Scoop Front Design, Black",Central,Consumer,CON,TRUE,31-01-2022,Second Class,Iowa,Storage,0,$0.00K
Office Supplies,Springfield,United States,RW-19690,Robert Waldorf,Acco,10-09-2022,US-2022-110905,65807,Acco 6 Outlet Guardian Standard Surge Suppressor,Central,Consumer,CON,TRUE,15-09-2022,Second Class,Missouri,Appliances,0,$0.01K
Office Supplies,Elkhart,United States,LH-16900,Lena Hernandez,Quartet,23-07-2022,US-2022-169320,46514,"Quartet Omega Colored Chalk, 12/Pack",Central,Consumer,CON,TRUE,25-07-2022,Second Class,Indiana,Art,0,$0.01K
Office Supplies,Noblesville,United States,DL-12925,Daniel Lacy,GBC,12-10-2020,US-2020-134747,46060,GBC Standard Plastic Binding Systems' Combs,Central,Consumer,CON,FALSE,17-10-2020,Second Class,Indiana,Binders,0,$0.01K
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,Ibico,31-01-2020,US-2020-149587,55407,Ibico Standard Transparent Covers,Central,Consumer,CON,FALSE,05-02-2020,Second Class,Minnesota,Binders,0,$0.02K
Office Supplies,Holland,United States,JH-15820,John Huston,Smead,03-09-2020,US-2020-169537,49423,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Central,Consumer,CON,FALSE,07-09-2020,Second Class,Michigan,Labels,0,$0.00K
Office Supplies,South Bend,United States,RK-19300,Ralph Kennedy,TOPS,20-07-2020,US-2020-160472,46614,Tops White Computer Printout Paper,Central,Consumer,CON,FALSE,25-07-2020,Second Class,Indiana,Paper,0,$0.05K
Office Supplies,Marion,United States,TM-21010,Tamara Manning,Xerox,29-01-2022,US-2022-160927,52302,Xerox 1997,Central,Consumer,CON,TRUE,31-01-2022,Second Class,Iowa,Paper,0,$0.01K
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,Xerox,31-01-2020,US-2020-149587,55407,Xerox 1999,Central,Consumer,CON,FALSE,05-02-2020,Second Class,Minnesota,Paper,0,$0.01K
Office Supplies,Grand Island,United States,TM-21010,Tamara Manning,Adams,18-09-2022,US-2022-134439,68801,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Central,Consumer,CON,TRUE,23-09-2022,Second Class,Nebraska,Paper,0,$0.01K
Office Supplies,Tulsa,United States,TB-21400,Tom Boeckenhauer,Xerox,07-09-2019,US-2019-131002,74133,Xerox 2000,Central,Consumer,CON,FALSE,12-09-2019,Second Class,Oklahoma,Paper,0,$0.01K
Office Supplies,Indianapolis,United States,CT-11995,Carol Triggs,Fellowes,15-09-2020,US-2020-145849,46203,Fellowes Stor/Drawer Steel Plus Storage Drawers,Central,Consumer,CON,FALSE,17-09-2020,Second Class,Indiana,Storage,0,$0.01K
Office Supplies,Springfield,United States,RW-19690,Robert Waldorf,Holmes,10-09-2022,US-2022-110905,65807,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",Central,Consumer,CON,TRUE,15-09-2022,Second Class,Missouri,Appliances,0,$0.01K
Office Supplies,Fargo,United States,NC-18340,Nat Carroll,Boston,20-05-2022,US-2022-111332,58103,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Central,Consumer,CON,TRUE,22-05-2022,Second Class,North Dakota,Art,0,$0.04K
Office Supplies,Springfield,United States,RW-19690,Robert Waldorf,3M,10-09-2022,US-2022-110905,65807,3M Organizer Strips,Central,Consumer,CON,TRUE,15-09-2022,Second Class,Missouri,Binders,0,$0.01K
Office Supplies,Springfield,United States,RW-19690,Robert Waldorf,Newell,10-09-2022,US-2022-110905,65807,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,Central,Consumer,CON,TRUE,15-09-2022,Second Class,Missouri,Binders,0,$0.01K
Office Supplies,Tulsa,United States,TB-21400,Tom Boeckenhauer,GBC,07-09-2019,US-2019-131002,74133,"GBC Laser Imprintable Binding System Covers, Desert Sand",Central,Consumer,CON,FALSE,12-09-2019,Second Class,Oklahoma,Binders,0,$0.02K
Office Supplies,La Crosse,United States,EB-13930,Eric Barreto,Other,27-02-2021,US-2021-101448,54601,Flexible Leather- Look Classic Collection Ring Binder,Central,Consumer,CON,FALSE,01-03-2021,Second Class,Wisconsin,Binders,0,$0.03K
Office Supplies,Tulsa,United States,AG-10330,Alex Grayson,Tyvek,03-08-2021,US-2021-104150,74133,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Central,Consumer,CON,FALSE,05-08-2021,Second Class,Oklahoma,Envelopes,0,$0.04K
Office Supplies,Fargo,United States,NC-18340,Nat Carroll,Other,20-05-2022,US-2022-111332,58103,Staples,Central,Consumer,CON,TRUE,22-05-2022,Second Class,North Dakota,Fasteners,0,$0.00K
Office Supplies,Detroit,United States,DB-13210,Dean Braden,Easy-staple paper,09-12-2022,US-2022-109960,48234,Easy-staple paper,Central,Consumer,CON,TRUE,11-12-2022,Second Class,Michigan,Paper,0,$0.01K
Office Supplies,Jackson,United States,TB-21520,Tracy Blumstein,Other,14-09-2022,US-2022-114440,49201,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Central,Consumer,CON,TRUE,17-09-2022,Second Class,Michigan,Paper,0,$0.01K
Office Supplies,Detroit,United States,PK-19075,Pete Kriz,Eldon,05-09-2021,US-2021-115756,48227,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,Central,Consumer,CON,FALSE,07-09-2021,Second Class,Michigan,Storage,0,$0.02K
Office Supplies,Detroit,United States,PK-19075,Pete Kriz,Fellowes,05-09-2021,US-2021-115756,48227,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Central,Consumer,CON,FALSE,07-09-2021,Second Class,Michigan,Storage,0,$0.02K
Office Supplies,Springfield,United States,RW-19690,Robert Waldorf,Fellowes,10-09-2022,US-2022-110905,65807,Fellowes Stor/Drawer Steel Plus Storage Drawers,Central,Consumer,CON,TRUE,15-09-2022,Second Class,Missouri,Storage,0,$0.02K
Office Supplies,Aberdeen,United States,JL-15505,Jeremy Lonsdale,Acme,11-11-2022,US-2022-167976,57401,Acme Titanium Bonded Scissors,Central,Consumer,CON,TRUE,14-11-2022,Second Class,South Dakota,Supplies,0,$0.01K
Office Supplies,Fargo,United States,NC-18340,Nat Carroll,BIC,20-05-2022,US-2022-111332,58103,"BIC Brite Liner Highlighters, Chisel Tip",Central,Consumer,CON,TRUE,22-05-2022,Second Class,North Dakota,Art,0,$0.01K
Office Supplies,Richmond,United States,RA-19285,Ralph Arnett,Avery,13-08-2020,US-2020-150441,47374,Avery Round Ring Poly Binders,Central,Consumer,CON,FALSE,17-08-2020,Second Class,Indiana,Binders,0,$0.01K
Office Supplies,Detroit,United States,DB-13210,Dean Braden,Ibico,09-12-2022,US-2022-109960,48234,Ibico Plastic and Wire Spiral Binding Combs,Central,Consumer,CON,TRUE,11-12-2022,Second Class,Michigan,Binders,0,$0.02K
Office Supplies,Jackson,United States,AR-10540,Andy Reiter,GBC,16-01-2022,US-2022-138289,49201,GBC DocuBind P400 Electric Binding System,Central,Consumer,CON,TRUE,18-01-2022,Second Class,Michigan,Binders,0,$2.50K
Office Supplies,Detroit,United States,PK-19075,Pete Kriz,Xerox,05-09-2021,US-2021-115756,48227,"Xerox Color Copier Paper, 11"" x 17"", Ream",Central,Consumer,CON,FALSE,07-09-2021,Second Class,Michigan,Paper,0,$0.04K
Office Supplies,Rochester,United States,GZ-14470,Gary Zandusky,Universal,01-12-2021,US-2021-129903,55901,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Central,Consumer,CON,FALSE,04-12-2021,Second Class,Minnesota,Paper,0,$0.01K
Office Supplies,Westland,United States,PO-18865,Patrick O'Donnell,Gould Plastics,20-10-2019,US-2019-146703,48185,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,Consumer,CON,FALSE,25-10-2019,Second Class,Michigan,Storage,0,$0.01K
Office Supplies,Fargo,United States,NC-18340,Nat Carroll,Fellowes,20-05-2022,US-2022-111332,58103,Fellowes High-Stak Drawer Files,Central,Consumer,CON,TRUE,22-05-2022,Second Class,North Dakota,Storage,0,$0.16K
Office Supplies,Lawrence,United States,DL-13330,Denise Leinenbach,Hoover,21-11-2020,US-2020-109337,46226,"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",Central,Consumer,CON,FALSE,23-11-2020,Second Class,Indiana,Appliances,0,$0.01K
Office Supplies,Detroit,United States,DB-13210,Dean Braden,BIC,09-12-2022,US-2022-109960,48234,BIC Liqua Brite Liner,Central,Consumer,CON,TRUE,11-12-2022,Second Class,Michigan,Art,0,$0.01K
Office Supplies,Springfield,United States,AS-10090,Adam Shillingsburg,Staple envelope,01-04-2022,US-2022-145877,65807,Staple envelope,Central,Consumer,CON,TRUE,04-04-2022,Second Class,Missouri,Envelopes,0,$0.01K
Office Supplies,South Bend,United States,RK-19300,Ralph Kennedy,Xerox,20-07-2020,US-2020-160472,46614,Xerox 1981,Central,Consumer,CON,FALSE,25-07-2020,Second Class,Indiana,Paper,0,$0.01K
Office Supplies,Marion,United States,TM-21010,Tamara Manning,Xerox,29-01-2022,US-2022-160927,52302,Xerox 1887,Central,Consumer,CON,TRUE,31-01-2022,Second Class,Iowa,Paper,0,$0.05K
Office Supplies,Springfield,United States,RW-19690,Robert Waldorf,Xerox,10-09-2022,US-2022-110905,65807,Xerox 1970,Central,Consumer,CON,TRUE,15-09-2022,Second Class,Missouri,Paper,0,$0.01K
Office Supplies,Fremont,United States,MC-17575,Matt Collins,Strathmore,20-12-2021,US-2021-157840,68025,Strathmore Photo Mount Cards,Central,Consumer,CON,FALSE,23-12-2021,Second Class,Nebraska,Paper,0,$0.02K
Office Supplies,Lafayette,United States,RD-19720,Roger Demir,Other,29-03-2022,US-2022-126550,47905,Adjustable Personal File Tote,Central,Consumer,CON,TRUE,02-04-2022,Second Class,Indiana,Storage,0,$0.02K
Office Supplies,South Bend,United States,RK-19300,Ralph Kennedy,Eldon,20-07-2020,US-2020-160472,46614,Eldon Portable Mobile Manager,Central,Consumer,CON,FALSE,25-07-2020,Second Class,Indiana,Storage,0,$0.04K
Office Supplies,Lawrence,United States,DL-13330,Denise Leinenbach,Crayola,21-11-2020,US-2020-109337,46226,"Crayola Anti Dust Chalk, 12/Pack",Central,Consumer,CON,FALSE,23-11-2020,Second Class,Indiana,Art,0,$0.00K
Office Supplies,Springfield,United States,AS-10090,Adam Shillingsburg,Other,01-04-2022,US-2022-145877,65807,Hanging Personal Folder File,Central,Consumer,CON,TRUE,04-04-2022,Second Class,Missouri,Storage,0,$0.02K
Office Supplies,South Bend,United States,RK-19300,Ralph Kennedy,Other,20-07-2020,US-2020-160472,46614,"White Envelopes, White Envelopes with Clear Poly Window",Central,Consumer,CON,FALSE,25-07-2020,Second Class,Indiana,Envelopes,0,$0.05K
Office Supplies,Detroit,United States,PK-19075,Pete Kriz,Avery,05-09-2021,US-2021-115756,48227,Avery 520,Central,Consumer,CON,FALSE,07-09-2021,Second Class,Michigan,Labels,0,$0.01K
Office Supplies,Jackson,United States,AR-10540,Andy Reiter,TOPS,16-01-2022,US-2022-138289,49201,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Central,Consumer,CON,TRUE,18-01-2022,Second Class,Michigan,Paper,0,$0.03K
Office Supplies,Indianapolis,United States,CT-11995,Carol Triggs,Other,15-09-2020,US-2020-145849,46203,Manco Dry-Lighter Erasable Highlighter,Central,Consumer,CON,FALSE,17-09-2020,Second Class,Indiana,Art,0,$0.01K
Office Supplies,Detroit,United States,KL-16645,Ken Lonsdale,GBC,09-04-2022,US-2022-112900,48205,GBC Recycled Regency Composition Covers,Central,Consumer,CON,TRUE,12-04-2022,Second Class,Michigan,Binders,0,$0.22K
Office Supplies,Fargo,United States,NC-18340,Nat Carroll,Binney & Smith,20-05-2022,US-2022-111332,58103,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",Central,Consumer,CON,TRUE,22-05-2022,Second Class,North Dakota,Art,0,$0.01K
Office Supplies,Chicago,United States,AG-10900,Arthur Gainer,Staple envelope,13-09-2020,US-2020-136728,60623,Staple envelope,Central,Consumer,CON,FALSE,17-09-2020,Second Class,Illinois,Envelopes,0.2,$0.00K
Office Supplies,Brownsville,United States,CM-12160,Charles McCrossin,Staple remover,28-09-2022,US-2022-139955,78521,Staple remover,Central,Consumer,CON,TRUE,30-09-2022,Second Class,Texas,Supplies,0.2,$0.00K
Office Supplies,Carrollton,United States,AB-10150,Aimee Bixby,Acme,19-11-2022,US-2022-158876,75007,Acme Elite Stainless Steel Scissors,Central,Consumer,CON,TRUE,21-11-2022,Second Class,Texas,Supplies,0.2,$0.00K
Office Supplies,Houston,United States,RA-19285,Ralph Arnett,Acme,13-12-2019,US-2019-154186,77070,Acme Value Line Scissors,Central,Consumer,CON,FALSE,15-12-2019,Second Class,Texas,Supplies,0.2,$0.00K
Office Supplies,Chicago,United States,KL-16645,Ken Lonsdale,Binney & Smith,04-06-2021,US-2021-157749,60610,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Central,Consumer,CON,FALSE,09-06-2021,Second Class,Illinois,Art,0.2,$0.00K
Office Supplies,El Paso,United States,TS-21655,Trudy Schmidt,Newell,02-01-2022,US-2022-147207,79907,Newell 319,Central,Consumer,CON,TRUE,04-01-2022,Second Class,Texas,Art,0.2,$0.00K
Office Supplies,Houston,United States,HL-15040,Hunter Lopez,Staple envelope,03-10-2021,US-2021-140634,77095,Staple envelope,Central,Consumer,CON,FALSE,06-10-2021,Second Class,Texas,Envelopes,0.2,$0.01K
Office Supplies,Keller,United States,DL-12865,Dan Lawera,Avery,19-01-2022,US-2022-154718,76248,Avery 510,Central,Consumer,CON,TRUE,23-01-2022,Second Class,Texas,Labels,0.2,$0.00K
Office Supplies,Dallas,United States,DB-13660,Duane Benoit,Xerox,25-03-2022,US-2022-101077,75081,Xerox 1953,Central,Consumer,CON,TRUE,30-03-2022,Second Class,Texas,Paper,0.2,$0.00K
Office Supplies,Chicago,United States,MS-17365,Maribeth Schnelling,Other,05-03-2020,US-2020-140221,60653,"Companion Letter/Legal File, Black",Central,Consumer,CON,FALSE,09-03-2020,Second Class,Illinois,Storage,0.2,$0.01K
Office Supplies,Chicago,United States,RL-19615,Rob Lucas,Newell,12-07-2020,US-2020-126557,60610,Newell 32,Central,Consumer,CON,FALSE,17-07-2020,Second Class,Illinois,Art,0.2,$0.00K
Office Supplies,Dallas,United States,AH-10465,Amy Hunt,Newell,03-01-2020,US-2020-141243,75217,Newell 317,Central,Consumer,CON,FALSE,08-01-2020,Second Class,Texas,Art,0.2,$0.00K
Office Supplies,Dallas,United States,NS-18505,Neola Schneider,Dixon,24-11-2021,US-2021-128531,75217,"Dixon My First Ticonderoga Pencil, #2",Central,Consumer,CON,FALSE,26-11-2021,Second Class,Texas,Art,0.2,$0.00K
Office Supplies,San Antonio,United States,DM-13015,Darrin Martin,Newell,23-10-2022,US-2022-105389,78207,Newell 320,Central,Consumer,CON,TRUE,28-10-2022,Second Class,Texas,Art,0.2,$0.00K
Office Supplies,Dallas,United States,NS-18505,Neola Schneider,Other,24-11-2021,US-2021-128531,75217,Colored Push Pins,Central,Consumer,CON,FALSE,26-11-2021,Second Class,Texas,Fasteners,0.2,$0.00K
Office Supplies,Chicago,United States,CC-12220,Chris Cortes,Ampad,09-09-2019,US-2019-103527,60653,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",Central,Consumer,CON,FALSE,14-09-2019,Second Class,Illinois,Paper,0.2,$0.00K
Office Supplies,Dallas,United States,JF-15565,Jill Fjeld,Other,08-08-2021,US-2021-121034,75081,"Ink Jet Note and Greeting Cards, 8-1/2"" x 5-1/2"" Card Size",Central,Consumer,CON,FALSE,10-08-2021,Second Class,Texas,Paper,0.2,$0.02K
Office Supplies,Dallas,United States,NS-18505,Neola Schneider,Xerox,24-11-2021,US-2021-128531,75217,Xerox 1925,Central,Consumer,CON,FALSE,26-11-2021,Second Class,Texas,Paper,0.2,$0.02K
Office Supplies,Dallas,United States,AB-10150,Aimee Bixby,Xerox,31-01-2021,US-2021-147970,75220,Xerox 1994,Central,Consumer,CON,FALSE,02-02-2021,Second Class,Texas,Paper,0.2,$0.01K
Office Supplies,Houston,United States,KH-16510,Keith Herrera,Xerox,28-10-2022,US-2022-111262,77095,Xerox 21,Central,Consumer,CON,TRUE,01-11-2022,Second Class,Texas,Paper,0.2,$0.01K
Office Supplies,El Paso,United States,TS-21655,Trudy Schmidt,Other,02-01-2022,US-2022-147207,79907,"Dual Level, Single-Width Filing Carts",Central,Consumer,CON,TRUE,04-01-2022,Second Class,Texas,Storage,0.2,$0.03K
Office Supplies,Houston,United States,AG-10675,Anna Gayman,Other,08-09-2021,US-2021-108987,77036,Super Decoflex Portable Personal File,Central,Consumer,CON,FALSE,10-09-2021,Second Class,Texas,Storage,0.2,$0.00K
Office Supplies,Carrollton,United States,AB-10150,Aimee Bixby,Boston,19-11-2022,US-2022-158876,75007,"Boston School Pro Electric Pencil Sharpener, 1670",Central,Consumer,CON,TRUE,21-11-2022,Second Class,Texas,Art,0.2,$0.01K
Office Supplies,Chicago,United States,HA-14920,Helen Andreada,Acco,11-09-2022,US-2022-117044,60623,Acco Hot Clips Clips to Go,Central,Consumer,CON,TRUE,13-09-2022,Second Class,Illinois,Fasteners,0.2,$0.00K
Office Supplies,Dallas,United States,JF-15565,Jill Fjeld,Other,08-08-2021,US-2021-121034,75081,OIC Bulk Pack Metal Binder Clips,Central,Consumer,CON,FALSE,10-08-2021,Second Class,Texas,Fasteners,0.2,$0.00K
Office Supplies,Houston,United States,CM-12445,Chuck Magee,Other,20-10-2021,US-2021-133697,77095,Staples,Central,Consumer,CON,FALSE,24-10-2021,Second Class,Texas,Fasteners,0.2,$0.01K
Office Supplies,Carrollton,United States,AB-10150,Aimee Bixby,Xerox,19-11-2022,US-2022-158876,75007,Xerox 1901,Central,Consumer,CON,TRUE,21-11-2022,Second Class,Texas,Paper,0.2,$0.01K
